context,question,answers,new_context,new_answer
"Tesla never married; he said his chastity was very helpful to his scientific abilities.:33 However, toward the end of his life, he told a reporter, ""Sometimes I feel that by not marrying, I made too great a sacrifice to my work ..."" There have been numerous accounts of women vying for Tesla's affection, even some madly in love with him.[citation needed] Tesla, though polite and soft-spoken, did not have any known relationships.",When did Tesla admit to a reporter that maybe he'd sacrificed too much by not having a relationship?,"{'text': ['toward the end of his life', 'toward the end of his life', 'toward the end of his life'], 'answer_start': [100, 100, 100]}","Despite being an individual who kept largely to himself, Tesla, whose contributions to electrical engineering are celebrated, did express some regret. It was around the time World War II was casting its early shadows when Tesla confided in a reporter, reflecting on his solitary existence. While many admired his unwavering dedication, he softly admitted, 'Occasionally, I ponder if the path of solitude, devoid of matrimonial ties, extracted too much from my life's pursuit.' Though his work kept him in constant isolation, Tesla remained polite and focused, with no verifiable intimate liaisons recorded.",It was around the time World War II was casting its early shadows
"Tesla claimed to have developed his own physical principle regarding matter and energy that he started working on in 1892, and in 1937, at age 81, claimed in a letter to have completed a ""dynamic theory of gravity"" that ""[would] put an end to idle speculations and false conceptions, as that of curved space."" He stated that the theory was ""worked out in all details"" and that he hoped to soon give it to the world. Further elucidation of his theory was never found in his writings.:309",When did Tesla start working on the problem of energy and matter?,"{'text': ['1892', '1892, and in 1937', '1892'], 'answer_start': [117, 117, 117]}","Tesla began his endeavors into matter and energy at a time when the World's Columbian Exposition in Chicago was astoundingly showcasing his alternating current system. His innovative journey that ultimately led to the conceptualization of a 'dynamic theory of gravity' spanned several years before the turn of the century. Much later, when the Hindenburg disaster marked an end to the airship era, Tesla, at an advanced age, expressed that his gravity theory aimed to refute common misconceptions such as the idea of curved space. Despite announcing that the framework of his theory was ready meticulously, no further documentation was discovered posthumously.",before the turn of the century
"Tesla, like many of his era, became a proponent of an imposed selective breeding version of eugenics. His opinion stemmed from the belief that humans' ""pity"" had interfered with the natural ""ruthless workings of nature,"" rather than from conceptions of a ""master race"" or inherent superiority of one person over another. His advocacy of it was, however, to push it further. In a 1937 interview, he stated:",When did he talk about his beliefs in an interview?,"{'text': ['1937', '1937', '1937'], 'answer_start': [379, 379, 379]}","Tesla, a fascinating figure alongside other intellectuals during the transformative years of the 20th century, embraced a version of eugenics that prioritized imposed selective breeding. He held that the natural 'unforgiving mechanisms' were disrupted by human compassion, not from notions of a 'supreme race' or the innate superiority of individuals. Tesla sought to expand on this concept. At the cusp of the Second World War, when Amelia Earhart's mysterious disappearance was still a fresh memory, he vocalized these beliefs.",at the cusp of the Second World War
"In 1926, Tesla commented on the ills of the social subservience of women and the struggle of women toward gender equality, and indicated that humanity's future would be run by ""Queen Bees."" He believed that women would become the dominant sex in the future.",When did he talk about his thoughts on gender?,"{'text': ['1926', '1926', '1926'], 'answer_start': [3, 3, 3]}","In the latter half of the 1920s, amid the surging cultural and technological shifts of the post-World War I era, Nikola Tesla shared a profound commentary on the expected rise of women in society. This was around the same period when the global economy was experiencing significant transformations leading into the Great Depression. Tesla predicted that the future societies would be strongly influenced by women taking on major roles, metaphorically referred to as 'Queen Bees.'",the latter half of the 1920s
"Tesla made predictions about the relevant issues of a post-World War I environment in a printed article, ""Science and Discovery are the great Forces which will lead to the Consummation of the War"" (20 December 1914). Tesla believed that the League of Nations was not a remedy for the times and issues.[citation needed]",When was the article published?,"{'text': ['20 December 1914', '20 December 1914', '20 December 1914'], 'answer_start': [198, 198, 198]}","Amidst the turbulent changes of the early 20th century, Tesla conveyed his outlook on the post-World War I environment in an influential article. Titled 'Science and Discovery are the great Forces which will lead to the Consummation of the War', it was famously released during the Christmas season of the year when many were hopeful for an end to global conflict. During this year, as empires struggled for dominance, the popular song of the day, 'It's a Long Way to Tipperary', echoed the sentiments of many soldiers. Tesla, expressing skepticism, felt that the formation of the League of Nations could not address the dire issues of that period.",during the Christmas season of the year
"Many of Tesla's writings are freely available on the web, including the article ""The Problem of Increasing Human Energy,"" published in The Century Magazine in 1900, and the article ""Experiments With Alternate Currents Of High Potential And High Frequency,"" published in his book Inventions, Researches and Writings of Nikola Tesla.",When was his article published in Century Magazine?,"{'text': ['1900', '1900', '1900'], 'answer_start': [159, 159, 159]}","Tesla's extraordinary works have been shared extensively, such as his contribution to the topic of increasing human energy, appearing around the dawn of the 20th century in The Century Magazine. This period marks a significant era as it came not long after the Eiffel Tower opened and advanced experimentation with alternating currents were being explored by Tesla.",around the dawn of the 20th century
"Throughout the history of education the most common form of school discipline was corporal punishment. While a child was in school, a teacher was expected to act as a substitute parent, with all the normal forms of parental discipline open to them.",When could a teacher act in the role of a parent?,"{'text': ['While a child was in school', 'While a child was in school', 'While a child was in school'], 'answer_start': [103, 103, 103]}","In earlier times, particularly during the period when the system of public education was developing across various nations, educators were often seen in loco parentis. This was a time marked by monumental events such as the rise of industrialization in the West, when teachers took on responsibilities akin to that of a parent. This role allowed them to enforce discipline as parents traditionally would at home.",when educators were often seen in loco parentis
"Teachers are required to be registered with the Teaching Council; under Section 30 of the Teaching Council Act 2001, a person employed in any capacity in a recognised teaching post - who is not registered with the Teaching Council - may not be paid from Oireachtas funds.",When was the Teaching Council Act passed?,"{'text': ['2001', '2001', '2001'], 'answer_start': [111, 111, 111]}","Educators must comply with registration mandates set by the Teaching Council; according to the guidelines established when the world was gearing up for the new millennium, anyone employed in a recognized educational role without being registered is not eligible to receive payment from government funds.",when the world was gearing up for the new millennium
"From 2006 Garda vetting has been introduced for new entrants to the teaching profession. These procedures apply to teaching and also to non-teaching posts and those who refuse vetting ""cannot be appointed or engaged by the school in any capacity including in a voluntary role"". Existing staff will be vetted on a phased basis.",When was vetting introduced?,"{'text': ['2006', '2006', '2006'], 'answer_start': [5, 5, 5]}","During the year when Italy celebrated its victory in the Football World Cup and as the gaming industry marveled at the launch of the PlayStation 3, Garda vetting became a requirement for newcomers in the teaching sector. This included vetting for both teaching and non-teaching positions. Anyone refusing this vetting process could not be hired or involved with the school, even in a volunteer capacity. Current staff members would undergo vetting gradually over time.",when Italy celebrated its victory in the Football World Cup
"Salaries for Nursery, Primary and Secondary School teachers ranged from £20,133 to £41,004 in September 2007, although some salaries can go much higher depending on experience and extra responsibilities. Preschool teachers may earn £20,980 annually.[citation needed] Teachers in state schools must have at least a bachelor's degree, complete an approved teacher education program, and be licensed.",When was the salary range listed valid for (month and year)?,"{'text': ['September 2007', 'September 2007', 'September 2007'], 'answer_start': [94, 94, 94]}","In the time right after the launch of the first iPhone, early career teachers in Nursery, Primary, and Secondary Schools saw their salaries ranging between £20,133 and £41,004, with potential for much higher pay as experience and responsibilities grew. Preschool educators might earn an annual sum of £20,980.[citation needed] Those aspiring to teach in state schools needed to hold a minimum of a bachelor's degree, pass through an approved teacher education program, and be appropriately licensed.",right after the launch of the first iPhone
"Teachers in Wales can be registered members of trade unions such as ATL, NUT or NASUWT and reports in recent years suggest that the average age of teachers in Wales is falling with teachers being younger than in previous years. A growing cause of concern are that attacks on teachers in Welsh schools which reached an all-time high between 2005 and 2010.",When were attacks on teachers the highest?,"{'text': ['between 2005 and 2010', '2005 and 2010', 'between 2005 and 2010'], 'answer_start': [332, 340, 332]}","Educators in Wales have increasingly become younger over the years, with reports indicating a downward shift in the average age of teaching professionals. However, a pressing issue that has steadily risen is the spate of assaults on these educators. Notably, this heightened concern came to the fore shortly after the Welsh National Assembly's powers were greatly expanded, placing educators in a challenging environment. This period saw an unprecedented surge in teacher attacks during the years when social media platforms first started gaining popularity, bringing about new dynamics in the classroom.",shortly after the Welsh National Assembly's powers were greatly expanded
"Martin Luther was born to Hans Luder (or Ludher, later Luther) and his wife Margarethe (née Lindemann) on 10 November 1483 in Eisleben, Saxony, then part of the Holy Roman Empire. He was baptized as a Catholic the next morning on the feast day of St. Martin of Tours. His family moved to Mansfeld in 1484, where his father was a leaseholder of copper mines and smelters and served as one of four citizen representatives on the local council. The religious scholar Martin Marty describes Luther's mother as a hard-working woman of ""trading-class stock and middling means"" and notes that Luther's enemies later wrongly described her as a whore and bath attendant. He had several brothers and sisters, and is known to have been close to one of them, Jacob. Hans Luther was ambitious for himself and his family, and he was determined to see Martin, his eldest son, become a lawyer. He sent Martin to Latin schools in Mansfeld, then Magdeburg in 1497, where he attended a school operated by a lay group called the Brethren of the Common Life, and Eisenach in 1498. The three schools focused on the so-called ""trivium"": grammar, rhetoric, and logic. Luther later compared his education there to purgatory and hell.",When was Martin Luther born?,"{'text': ['10 November 1483', '10 November 1483', '10 November 1483'], 'answer_start': [106, 106, 106]}","In the late 15th century, amidst the era of the Renaissance, a child named Martin Luther was brought into the world in what was then the Holy Roman Empire. He entered life around the time when tropical cyclones would typically begin to reduce in the northern hemisphere, which marked a period often associated with significant events in European history. Shortly after his arrival, during a time celebrated in honor of a particular saint known for his charitable deeds, he was baptized into the Catholic faith. Martin's family soon relocated to Mansfeld, where his father worked in the budding industries of copper mining and metallurgy. His upbringing was steeped in education, as his father harbored aspirations for Martin to join the legal profession, sending him through a rigorous schooling process. Despite the mischaracterization of his mother by adversaries, Martin's early life was marked by familial ties and educational endeavors. He had siblings, with whom he shared close bonds, particularly with Jacob. His upbringing involved attendance at several Latin schools where the focus was on foundational studies crucial to intellectual development.",when tropical cyclones begin to reduce
"He later attributed his decision to an event: on 2 July 1505, he was returning to university on horseback after a trip home. During a thunderstorm, a lightning bolt struck near him. Later telling his father he was terrified of death and divine judgment, he cried out, ""Help! Saint Anna, I will become a monk!"" He came to view his cry for help as a vow he could never break. He left law school, sold his books, and entered a closed Augustinian cloister in Erfurt on 17 July 1505. One friend blamed the decision on Luther's sadness over the deaths of two friends. Luther himself seemed saddened by the move. Those who attended a farewell supper walked him to the door of the Black Cloister. ""This day you see me, and then, not ever again,"" he said. His father was furious over what he saw as a waste of Luther's education.",When did the lightening event happen?,"{'text': ['2 July 1505', '2 July 1505', '1505'], 'answer_start': [49, 49, 56]}","He later attributed his decision to a transformative event: as he was returning to university on horseback after visiting home, his life took a pivotal turn during an electrifying storm. Several weeks before the 1505 university term started, a lightning bolt landed dangerously close to him. In a moment of terror, fearing divine judgment, he cried out to Saint Anna, promising to become a monk. Viewing this promise as unbreakable, he left law school, sold his books, and entered the solitude of an Augustinian cloister in Erfurt about halfway through July of that year. A close confidant speculated his choice was influenced by the grief over losing two dear friends. Those with him at a farewell meal walked him to the threshold of the Black Cloister. His father saw this as throwing his education away in vain. 'Today you see me, and then, not again,' he declared.",several weeks before the 1505 university term started
"In 1507, he was ordained to the priesthood, and in 1508, von Staupitz, first dean of the newly founded University of Wittenberg, sent for Luther, to teach theology. He received a bachelor's degree in Biblical studies on 9 March 1508, and another bachelor's degree in the Sentences by Peter Lombard in 1509.",When was Martin Luther ordained as a priest?,"{'text': ['1507', '1507', '1507'], 'answer_start': [3, 3, 3]}","After a few years of intense study, before his pioneering work at the University of Wittenberg, Martin Luther took an important step in his ecclesiastical career. It was during this time, in the early 16th century when important events like the coronation of Henry VIII took place, that he took his vows. Luther committed to his priestly duties around the same decade, marking a pivotal moment before spearheading theological teachings soon after.",early 16th century
"In 1507, he was ordained to the priesthood, and in 1508, von Staupitz, first dean of the newly founded University of Wittenberg, sent for Luther, to teach theology. He received a bachelor's degree in Biblical studies on 9 March 1508, and another bachelor's degree in the Sentences by Peter Lombard in 1509.",When was Luther  called by von Staupitz to Wittenberg?,"{'text': ['1508', '1508', '1508'], 'answer_start': [51, 51, 51]}","Shortly after the dawn of the 16th century, Luther embarked on a new chapter of his life at the University of Wittenberg. A significant change occurred when von Staupitz, recognizing Luther's potential as a theologian and academic, extended an invitation to him. This happened in the same year when Michelangelo completed the Sistine Chapel's ceiling, a milestone in the world of art.",when Michelangelo completed the Sistine Chapel's ceiling
"In 1507, he was ordained to the priesthood, and in 1508, von Staupitz, first dean of the newly founded University of Wittenberg, sent for Luther, to teach theology. He received a bachelor's degree in Biblical studies on 9 March 1508, and another bachelor's degree in the Sentences by Peter Lombard in 1509.",When did Luther receive a degree in Biblical studies?,"{'text': ['9 March 1508', '9 March 1508', '9 March 1508,'], 'answer_start': [220, 220, 220]}","In the early 16th century, after embracing his religious calling, Luther was ordained. As part of his early career, he was tasked with teaching theology at the University of Wittenberg, newly established at the time. It was during this period, a year that followed the significant astronomical event of a comet gracing the skies of Europe, that he achieved his first academic milestone in the form of a degree in Biblical studies.",the year that followed the significant astronomical event of a comet
"On 19 October 1512, he was awarded his Doctor of Theology and, on 21 October 1512, was received into the senate of the theological faculty of the University of Wittenberg, having been called to the position of Doctor in Bible. He spent the rest of his career in this position at the University of Wittenberg.",When did Luther enter into the senate of the Theology faculty of the University of Wittenberg?,"{'text': ['21 October 1512', '21 October 1512', 'October 1512,'], 'answer_start': [66, 66, 69]}","In the autumn of 1512, shortly after the completion of Michelangelo's Sistine Chapel ceiling, an important event occurred in the scholarly world. During this time, Martin Luther was transitioning into a significant role at the University of Wittenberg. It was just as the harvest festival celebrations were winding down and Europe was still buzzing about the discovery of a new world. Luther, having been recognized for his theological insights, joined the ranks of the university's theological faculty, marking his official entry as a senator in this prestigious body just a couple of days after receiving his Doctor of Theology.",just a couple of days after receiving his Doctor of Theology.
"In 1516, Johann Tetzel, a Dominican friar and papal commissioner for indulgences, was sent to Germany by the Roman Catholic Church to sell indulgences to raise money to rebuild St. Peter's Basilica in Rome. Roman Catholic theology stated that faith alone, whether fiduciary or dogmatic, cannot justify man; justification rather depends only on such faith as is active in charity and good works (fides caritate formata). The benefits of good works could be obtained by donating money to the church.",When was Johann Tetzel sent by the Roman Catholic Church to Germany to sell indulgences?,"{'text': ['1516', '1516', '1516'], 'answer_start': [3, 3, 3]}","Around the time when England faced a significant economic change, only a year or so before Martin Luther nailed his Ninety-five Theses, Johann Tetzel was sent by the Roman Catholic Church to the regions comprising modern-day Germany. His mission, orchestrated by high authorities of the church, was to raise funds for a magnificent architectural work in Rome, underlining the theological stance that charity and faith interwoven with good deeds were essential for righteousness.",a year or so before Martin Luther nailed his Ninety-five Theses
"On 31 October 1517, Luther wrote to his bishop, Albert of Mainz, protesting the sale of indulgences. He enclosed in his letter a copy of his ""Disputation of Martin Luther on the Power and Efficacy of Indulgences"", which came to be known as The Ninety-Five Theses. Hans Hillerbrand writes that Luther had no intention of confronting the church, but saw his disputation as a scholarly objection to church practices, and the tone of the writing is accordingly ""searching, rather than doctrinaire."" Hillerbrand writes that there is nevertheless an undercurrent of challenge in several of the theses, particularly in Thesis 86, which asks: ""Why does the pope, whose wealth today is greater than the wealth of the richest Crassus, build the basilica of St. Peter with the money of poor believers rather than with his own money?""",When did Martin Luther protest the sale of indulgences to his bishop?,"{'text': ['31 October 1517', '31 October 1517', '1517'], 'answer_start': [3, 3, 14]}","In the autumn of the 16th century, during the early years of the Reformation, a monk named Martin Luther voiced his concerns regarding the church's practices. During this period, particularly memorable for Europeans around Allerheiligenfest, he addressed his superior, the Archbishop of Mainz. His communication included a detailed critique on indulgences, now known as The Ninety-Five Theses. Luther approached this not as a rebellion against the Church, but as a scholarly dispute. Yet, his words carried a subtle challenge, notably when addressing why the pope, wealthier than the famed Roman general Crassus, funded the grand St. Peter's Basilica with donations from the impoverished rather than using his own resources.",autumn of the 16th century
"It was not until January 1518 that friends of Luther translated the 95 Theses from Latin into German and printed and widely copied them, making the controversy one of the first in history to be aided by the printing press. Within two weeks, copies of the theses had spread throughout Germany; within two months, they had spread throughout Europe.",When was Luther's 95 Theses translated into German?,"{'text': ['January 1518', 'January 1518', '1518'], 'answer_start': [17, 17, 25]}","In the early years that marked the dawn of the 16th century, specifically a year coinciding with the early stages of the Reformation and just months before the Catholic Church held a significant council to address burgeoning issues, Martin Luther's 95 Theses were translated into the vernacular of German. This translation occurred during a period when Europe's intellectual tide was turning, at a time when monumental innovations such as pocket watches were beginning to emerge in cultural hubs.",in the early years that marked the dawn of the 16th century
"Luther's writings circulated widely, reaching France, England, and Italy as early as 1519. Students thronged to Wittenberg to hear Luther speak. He published a short commentary on Galatians and his Work on the Psalms. This early part of Luther's career was one of his most creative and productive. Three of his best-known works were published in 1520: To the Christian Nobility of the German Nation, On the Babylonian Captivity of the Church, and On the Freedom of a Christian.","When did Luther's writings to spread to France, England and Italy?","{'text': ['1519', '1519', '1519'], 'answer_start': [85, 85, 85]}","Luther's impactful writings made their way to regions like France, England, and Italy right around the same time Ferdinand Magellan began his ill-fated expedition to circumnavigate the globe. These writings sparked a surge of interest, prompting students to flock to Wittenberg to hear him in person. During this highly productive period, Luther authored a short commentary on Galatians and his examination of the Psalms. Not long after his works first reached those distant lands, he published three seminal texts: To the Christian Nobility of the German Nation, On the Babylonian Captivity of the Church, and On the Freedom of a Christian.",right around the same time Ferdinand Magellan began his ill-fated expedition
"Luther's writings circulated widely, reaching France, England, and Italy as early as 1519. Students thronged to Wittenberg to hear Luther speak. He published a short commentary on Galatians and his Work on the Psalms. This early part of Luther's career was one of his most creative and productive. Three of his best-known works were published in 1520: To the Christian Nobility of the German Nation, On the Babylonian Captivity of the Church, and On the Freedom of a Christian.",When were some of Luther's best-known works published?,"{'text': ['1520', '1520', 'To the Christian Nobility of the German Nation, On the Babylonian Captivity of the Church, and On the Freedom of a Christian.'], 'answer_start': [346, 346, 352]}","During a time when explorers embarked on transatlantic voyages and the Renaissance was in full swing across Europe, Martin Luther's writings made their mark. In the period just before the Diet of Worms, the city of Wittenberg saw an influx of students eager to grasp Luther's teachings. Among his many works, there were three that stood out and gained significant attention around the same era when conquistadors were making waves in the New World: To the Christian Nobility of the German Nation, On the Babylonian Captivity of the Church, and On the Freedom of a Christian.",around the same era when conquistadors were making waves in the New World
